id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
14339,651,1774346171120196808,1774346171120201834,1774346171120565835,1774346171120580383,0.005,0.364,0.384,200,3
14340,653,1774346171131882596,1774346171131889258,1774346171133643893,1774346171133666908,0.007,1.755,1.784,200,3
14341,652,1774346171134123649,1774346171134128231,1774346171134875372,1774346171134897004,0.005,0.747,0.773,200,3
14342,656,1774346171137869541,1774346171137877649,1774346171138890084,1774346171138919972,0.008,1.012,1.051,200,3
14344,658,1774346171152664466,1774346171154981912,1774346171156640550,1774346171156776264,2.317,1.659,4.112,200,3
14343,655,1774346171141241340,1774346171141249944,1774346171154839716,1774346171157959105,0.009,13.590,16.718,200,3
14345,657,1774346171158602373,1774346171158609805,1774346171169050991,1774346171169086717,0.007,10.441,10.484,200,3
14346,654,1774346171169580508,1774346171169586874,1774346171170971033,1774346171170992306,0.006,1.384,1.412,200,3
14347,665,1774346171171818246,1774346171171824190,1774346171173217100,1774346171173276623,0.006,1.393,1.458,200,3
14348,659,1774346171173653835,1774346171173658364,1774346171174210607,1774346171174259930,0.005,0.552,0.606,200,3
14349,660,1774346171174456729,1774346171174460646,1774346171175901856,1774346171175930340,0.004,1.441,1.474,200,3
14350,661,1774346171176226092,1774346171176231540,1774346171189170549,1774346171189211110,0.005,12.939,12.985,200,3
14351,663,1774346171190255545,1774346171190262101,1774346171191106052,1774346171191125372,0.007,0.844,0.870,200,3
14352,662,1774346171191467566,1774346171191473520,1774346171193866799,1774346171193900910,0.006,2.393,2.433,200,3
14353,664,1774346171200832239,1774346171200843260,1774346171201980431,1774346171202009600,0.011,1.137,1.177,200,3
14354,666,1774346171207993141,1774346171208004638,1774346171210563815,1774346171210602064,0.011,2.559,2.609,200,3
14355,667,1774346171211548189,1774346171211554618,1774346171213105413,1774346171213130719,0.006,1.551,1.583,200,3
14356,669,1774346171224385002,1774346171224393712,1774346171225885998,1774346171225914989,0.009,1.492,1.530,200,3
14357,668,1774346171229457964,1774346171229466093,1774346171232487215,1774346171232517398,0.008,3.021,3.059,200,3
14358,670,1774346171233087747,1774346171233092086,1774346171233811440,1774346171233825523,0.004,0.719,0.738,200,3
14359,671,1774346171239066331,1774346171239075073,1774346171239563116,1774346171239578297,0.009,0.488,0.512,200,3
14360,672,1774346171250654626,1774346171250663326,1774346171251827881,1774346171251851730,0.009,1.165,1.197,200,3
14361,673,1774346171252447025,1774346171252452388,1774346171253717809,1774346171253741309,0.005,1.265,1.294,200,3
14362,674,1774346171267604468,1774346171267612133,1774346171269612647,1774346171269647603,0.008,2.001,2.043,200,3
14363,676,1774346171274879927,1774346171274887486,1774346171275774247,1774346171275798592,0.008,0.887,0.919,200,3
14364,675,1774346171276857269,1774346171276860711,1774346171280352964,1774346171280386093,0.003,3.492,3.529,200,3
14365,677,1774346171293675446,1774346171293685560,1774346171297505712,1774346171297547192,0.010,3.820,3.872,200,3
14366,679,1774346171298272078,1774346171298278085,1774346171299007447,1774346171299032500,0.006,0.729,0.760,200,3
14367,681,1774346171299815652,1774346171299821036,1774346171301159481,1774346171301179055,0.005,1.338,1.363,200,3
14368,678,1774346171301622821,1774346171301627434,1774346171306374570,1774346171306415089,0.005,4.747,4.792,200,3
